evaluation_mode,normalization,classifier,removed_feature,retained_feature,pruning_count,pruning_frequency_out_of_20_folds,mean_absolute_spearman_correlation,median_absolute_spearman_correlation,minimum_absolute_spearman_correlation,maximum_absolute_spearman_correlation
native_rows,calibration_median_iqr,extra_trees,mean_frequency,spectral_edge_frequency_95,5,0.25,0.9180492557204076,0.9145700841638524,0.9144907255825624,0.9300964545170102
native_rows,calibration_median_iqr,extra_trees,mean_frequency,svd_entropy,3,0.15,0.9451296418651646,0.94522203883906,0.9447274510014816,0.9454394357549524
native_rows,calibration_median_iqr,extra_trees,permutation_entropy,slope_sign_change_count,18,0.9,0.9959029430959604,0.9957444489772719,0.9953609020014128,0.9971682633680664
native_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,hjorth_mobility,8,0.4,0.951643662649279,0.9507975627195758,0.9451977572240898,0.95858545018681
native_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,svd_entropy,6,0.3,0.9748197622207337,0.9742219491598532,0.9737941593902936,0.9765982962444872
native_rows,calibration_median_iqr,extra_trees,svd_entropy,hjorth_mobility,8,0.4,0.9803604386011437,0.9797458467902707,0.977659077498033,0.9863338094179138
native_rows,calibration_median_iqr,extra_trees,svd_entropy,spectral_edge_frequency_95,6,0.3,0.974791395915727,0.9742464896420705,0.9732095899041782,0.978341334652692
native_rows,calibration_median_iqr,logistic_regression,hjorth_complexity,median_frequency,1,0.05,0.922406114627659,0.922406114627659,0.922406114627659,0.922406114627659
native_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,median_frequency,1,0.05,0.9219645986729602,0.9219645986729602,0.9219645986729602,0.9219645986729602
native_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,spectral_edge_frequency_95,6,0.3,0.9493033320948787,0.9476639400082862,0.9464967999301888,0.957609289756795
native_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,svd_entropy,5,0.25,0.9792397735726857,0.9792827968591152,0.9781915187497788,0.9809027560183896
native_rows,calibration_median_iqr,logistic_regression,mean_frequency,hjorth_mobility,5,0.25,0.9863667155161867,0.9862079003228464,0.9858053342384028,0.9870218801880616
native_rows,calibration_median_iqr,logistic_regression,mean_frequency,median_frequency,7,0.35,0.9243167685370823,0.9184466713039938,0.9121996512964148,0.95620823542929
native_rows,calibration_median_iqr,logistic_regression,mean_frequency,spectral_edge_frequency_95,5,0.25,0.9180492557204076,0.9145700841638524,0.9144907255825624,0.9300964545170102
native_rows,calibration_median_iqr,logistic_regression,mean_frequency,svd_entropy,3,0.15,0.9451296418651646,0.94522203883906,0.9447274510014816,0.9454394357549524
native_rows,calibration_median_iqr,logistic_regression,permutation_entropy,slope_sign_change_count,18,0.9,0.9959029430959604,0.9957444489772719,0.9953609020014128,0.9971682633680664
native_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,hjorth_mobility,8,0.4,0.951643662649279,0.9507975627195758,0.9451977572240898,0.95858545018681
native_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,svd_entropy,6,0.3,0.9748197622207337,0.9742219491598532,0.9737941593902936,0.9765982962444872
native_rows,calibration_median_iqr,logistic_regression,svd_entropy,hjorth_mobility,8,0.4,0.9803604386011437,0.9797458467902707,0.977659077498033,0.9863338094179138
native_rows,calibration_median_iqr,logistic_regression,svd_entropy,spectral_edge_frequency_95,6,0.3,0.974791395915727,0.9742464896420705,0.9732095899041782,0.978341334652692
native_rows,calibration_median_iqr,random_forest,hjorth_complexity,median_frequency,1,0.05,0.922406114627659,0.922406114627659,0.922406114627659,0.922406114627659
native_rows,calibration_median_iqr,random_forest,hjorth_mobility,median_frequency,1,0.05,0.9219645986729602,0.9219645986729602,0.9219645986729602,0.9219645986729602
native_rows,calibration_median_iqr,random_forest,hjorth_mobility,spectral_edge_frequency_95,6,0.3,0.9493033320948787,0.9476639400082862,0.9464967999301888,0.957609289756795
native_rows,calibration_median_iqr,random_forest,hjorth_mobility,svd_entropy,5,0.25,0.9792397735726857,0.9792827968591152,0.9781915187497788,0.9809027560183896
native_rows,calibration_median_iqr,random_forest,mean_frequency,hjorth_mobility,5,0.25,0.9863667155161867,0.9862079003228464,0.9858053342384028,0.9870218801880616
native_rows,calibration_median_iqr,random_forest,mean_frequency,median_frequency,7,0.35,0.9243167685370823,0.9184466713039938,0.9121996512964148,0.95620823542929
native_rows,calibration_median_iqr,random_forest,mean_frequency,spectral_edge_frequency_95,5,0.25,0.9180492557204076,0.9145700841638524,0.9144907255825624,0.9300964545170102
native_rows,calibration_median_iqr,random_forest,mean_frequency,svd_entropy,3,0.15,0.9451296418651646,0.94522203883906,0.9447274510014816,0.9454394357549524
native_rows,calibration_median_iqr,random_forest,permutation_entropy,slope_sign_change_count,18,0.9,0.9959029430959604,0.9957444489772719,0.9953609020014128,0.9971682633680664
native_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,hjorth_mobility,8,0.4,0.951643662649279,0.9507975627195758,0.9451977572240898,0.95858545018681
native_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,svd_entropy,6,0.3,0.9748197622207337,0.9742219491598532,0.9737941593902936,0.9765982962444872
native_rows,calibration_median_iqr,random_forest,svd_entropy,hjorth_mobility,8,0.4,0.9803604386011437,0.9797458467902707,0.977659077498033,0.9863338094179138
native_rows,calibration_median_iqr,random_forest,svd_entropy,spectral_edge_frequency_95,6,0.3,0.974791395915727,0.9742464896420705,0.9732095899041782,0.978341334652692
native_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,20,1.0,0.9762300381455591,0.9759600775078727,0.9741171981267268,0.9786662218422278
native_rows,jackknife_median,extra_trees,mean_frequency,median_frequency,6,0.3,0.911033264165953,0.9041495235945792,0.9017716195227068,0.9389908488778363
native_rows,jackknife_median,extra_trees,mean_frequency,svd_entropy,14,0.7,0.9310308752948273,0.9305654602444307,0.928041837235299,0.9365709236797074
native_rows,jackknife_median,extra_trees,root_mean_square,mean_absolute_value,1,0.05,0.915937840356088,0.915937840356088,0.915937840356088,0.915937840356088
native_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,20,1.0,0.9622600504851284,0.9618333526143227,0.9601094563268764,0.9684490914636528
native_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,20,1.0,0.9762300381455591,0.9759600775078727,0.9741171981267268,0.9786662218422278
native_rows,jackknife_median,logistic_regression,mean_frequency,median_frequency,6,0.3,0.911033264165953,0.9041495235945792,0.9017716195227068,0.9389908488778363
native_rows,jackknife_median,logistic_regression,mean_frequency,svd_entropy,14,0.7,0.9310308752948273,0.9305654602444307,0.928041837235299,0.9365709236797074
native_rows,jackknife_median,logistic_regression,root_mean_square,mean_absolute_value,1,0.05,0.915937840356088,0.915937840356088,0.915937840356088,0.915937840356088
native_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,20,1.0,0.9622600504851284,0.9618333526143227,0.9601094563268764,0.9684490914636528
native_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,20,1.0,0.9762300381455591,0.9759600775078727,0.9741171981267268,0.9786662218422278
native_rows,jackknife_median,random_forest,mean_frequency,median_frequency,6,0.3,0.911033264165953,0.9041495235945792,0.9017716195227068,0.9389908488778363
native_rows,jackknife_median,random_forest,mean_frequency,svd_entropy,14,0.7,0.9310308752948273,0.9305654602444307,0.928041837235299,0.9365709236797074
native_rows,jackknife_median,random_forest,root_mean_square,mean_absolute_value,1,0.05,0.915937840356088,0.915937840356088,0.915937840356088,0.915937840356088
native_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,20,1.0,0.9622600504851284,0.9618333526143227,0.9601094563268764,0.9684490914636528
native_rows,none,extra_trees,hjorth_complexity,median_frequency,16,0.8,0.9294581312788743,0.9280073694267793,0.9214792054860949,0.9491332324120512
native_rows,none,extra_trees,hjorth_mobility,spectral_edge_frequency_95,15,0.75,0.9091151932131414,0.9068157303804596,0.900001543570047,0.938634486247764
native_rows,none,extra_trees,median_frequency,hjorth_complexity,3,0.15,0.927724770603597,0.93054011446841,0.9214730477275598,0.9311611496148214
native_rows,none,extra_trees,permutation_entropy,slope_sign_change_count,5,0.25,0.9982811599533701,0.9983338775857225,0.9981841914747264,0.9983462492791806
