evaluation_mode,normalization,classifier,removed_feature,retained_feature,pruning_count,pruning_frequency_out_of_20_folds,mean_absolute_spearman_correlation,median_absolute_spearman_correlation,minimum_absolute_spearman_correlation,maximum_absolute_spearman_correlation
common_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,18,0.9,0.9791552125496332,0.9785668736741844,0.9774867521230372,0.9817371669820254
common_rows,jackknife_median,random_forest,mean_frequency,median_frequency,3,0.15,0.9184937075538132,0.912852116814924,0.901245431710188,0.941383574136328
common_rows,jackknife_median,random_forest,mean_frequency,svd_entropy,17,0.85,0.9376473321993168,0.9371741376739348,0.9343374760086848,0.9437127779902296
common_rows,jackknife_median,random_forest,permutation_entropy,slope_sign_change_count,12,0.6,0.9938969936823397,0.9939295296187458,0.993197710177564,0.9944039178150595
common_rows,jackknife_median,random_forest,root_mean_square,mean_absolute_value,1,0.05,0.9146102028324176,0.9146102028324176,0.9146102028324176,0.9146102028324176
common_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,19,0.95,0.9670341404803801,0.9666719268014364,0.9649313946023426,0.9729891410359104
common_rows,jackknife_median,random_forest,svd_entropy,spectral_edge_frequency_95,1,0.05,0.9689669397594886,0.9689669397594886,0.9689669397594886,0.9689669397594886
common_rows,none,extra_trees,hjorth_complexity,median_frequency,10,0.5,0.9246993015008913,0.924214393809121,0.9172698456585924,0.931482622137102
common_rows,none,extra_trees,hjorth_mobility,spectral_edge_frequency_95,14,0.7,0.9092875804699069,0.9056936876104058,0.900628643282329,0.9383376833743374
common_rows,none,extra_trees,median_frequency,hjorth_complexity,10,0.5,0.9229376262640006,0.9212078154749213,0.9142525746379891,0.9463703608939502
common_rows,none,extra_trees,permutation_entropy,slope_sign_change_count,12,0.6,0.9981277800177027,0.9981802790507688,0.9979008869118856,0.9982455123432742
common_rows,none,extra_trees,root_mean_square,mean_absolute_value,19,0.95,0.9185485625859307,0.919382112036508,0.9067512045861124,0.9432763492243136
common_rows,none,extra_trees,slope_sign_change_count,permutation_entropy,6,0.3,0.9981774866056873,0.9981732816445277,0.9979883816508048,0.998343827942147
common_rows,none,extra_trees,svd_entropy,spectral_edge_frequency_95,19,0.95,0.964767193055673,0.9638925100582892,0.9577228178160136,0.9752475811800898
common_rows,none,logistic_regression,hjorth_complexity,median_frequency,10,0.5,0.9246993015008913,0.924214393809121,0.9172698456585924,0.931482622137102
common_rows,none,logistic_regression,hjorth_mobility,spectral_edge_frequency_95,14,0.7,0.9092875804699069,0.9056936876104058,0.900628643282329,0.9383376833743374
common_rows,none,logistic_regression,median_frequency,hjorth_complexity,10,0.5,0.9229376262640006,0.9212078154749213,0.9142525746379891,0.9463703608939502
common_rows,none,logistic_regression,permutation_entropy,slope_sign_change_count,12,0.6,0.9981277800177027,0.9981802790507688,0.9979008869118856,0.9982455123432742
common_rows,none,logistic_regression,root_mean_square,mean_absolute_value,19,0.95,0.9185485625859307,0.919382112036508,0.9067512045861124,0.9432763492243136
common_rows,none,logistic_regression,slope_sign_change_count,permutation_entropy,6,0.3,0.9981774866056873,0.9981732816445277,0.9979883816508048,0.998343827942147
common_rows,none,logistic_regression,svd_entropy,spectral_edge_frequency_95,19,0.95,0.964767193055673,0.9638925100582892,0.9577228178160136,0.9752475811800898
common_rows,none,random_forest,hjorth_complexity,median_frequency,10,0.5,0.9246993015008913,0.924214393809121,0.9172698456585924,0.931482622137102
common_rows,none,random_forest,hjorth_mobility,spectral_edge_frequency_95,14,0.7,0.9092875804699069,0.9056936876104058,0.900628643282329,0.9383376833743374
common_rows,none,random_forest,median_frequency,hjorth_complexity,10,0.5,0.9229376262640006,0.9212078154749213,0.9142525746379891,0.9463703608939502
