outer_fold_patient_id,evaluation_mode,normalization,classifier,feature_name,initial_frozen_order,ranking_position,model_input_position,feature_importance,survived_variance_filter,survived_top_k,survived_correlation_pruning,removed_at_stage
491,common_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,26,7,,0.04475230695558419,True,True,False,correlation_pruning
491,common_rows,jackknife_median,logistic_regression,spectral_entropy,27,9,8.0,0.039249510324985235,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,AvgSampEn,28,26,,0.016890293241164697,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,MaxSampEn,29,20,17.0,0.022495693088047764,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,MedianSampEn,30,16,13.0,0.025473322277582523,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,StdSampEn,31,28,,0.015199077716652815,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,KurtosisSampEn,32,27,,0.01610584597109977,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,SkewnessSampEn,33,29,,0.015179726962136566,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,AUC_SampEn,34,15,12.0,0.02771142054758741,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,minimum,1,23,,0.019881917579718262,True,False,False,top_k
491,common_rows,jackknife_median,extra_trees,maximum,2,31,,0.01360240041419023,True,False,False,top_k
491,common_rows,jackknife_median,extra_trees,mean,3,34,,0.007530141176904529,True,False,False,top_k
491,common_rows,jackknife_median,extra_trees,median,4,2,2.0,0.06173105550681021,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,kurtosis,5,6,6.0,0.04658551199244744,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,skewness,6,17,14.0,0.025186504471651824,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,mean_absolute_value,7,5,5.0,0.04702886594920152,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,root_mean_square,8,12,10.0,0.03279695841851239,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,peak_to_peak,9,30,,0.01394644944073441,True,False,False,top_k
491,common_rows,jackknife_median,extra_trees,waveform_length,10,1,1.0,0.0649441279159098,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,zero_crossing_count,11,25,,0.017784993358137,True,False,False,top_k
491,common_rows,jackknife_median,extra_trees,slope_sign_change_count,12,22,,0.021909062119173726,True,False,False,top_k
491,common_rows,jackknife_median,extra_trees,approximate_entropy,13,10,9.0,0.038416758057355886,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,permutation_entropy,14,24,,0.01915427906524088,True,False,False,top_k
491,common_rows,jackknife_median,extra_trees,fuzzy_entropy,15,8,7.0,0.04452107865440818,True,True,True,retained
491,common_rows,jackknife_median,extra_trees,distribution_entropy,16,32,,0.011752150677031307,True,False,False,top_k
