outer_fold_patient_id,evaluation_mode,normalization,classifier,removed_feature,retained_feature,absolute_spearman_correlation,threshold
638,native_rows,calibration_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9722580139896048,0.9
638,native_rows,calibration_median,extra_trees,mean_frequency,svd_entropy,0.947036350215721,0.9
638,native_rows,calibration_median,extra_trees,permutation_entropy,slope_sign_change_count,0.9930679346380249,0.9
638,native_rows,calibration_median,random_forest,hjorth_mobility,svd_entropy,0.9774416828005407,0.9
638,native_rows,calibration_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9722580139896048,0.9
638,native_rows,calibration_median,random_forest,mean_frequency,svd_entropy,0.947036350215721,0.9
638,native_rows,calibration_median,random_forest,permutation_entropy,slope_sign_change_count,0.9930679346380249,0.9
638,native_rows,calibration_median_iqr,logistic_regression,svd_entropy,hjorth_mobility,0.979084709990667,0.9
638,native_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,hjorth_mobility,0.9496069345444949,0.9
638,native_rows,calibration_median_iqr,logistic_regression,mean_frequency,hjorth_mobility,0.9868524621545061,0.9
638,native_rows,calibration_median_iqr,logistic_regression,permutation_entropy,slope_sign_change_count,0.9956689464525399,0.9
638,native_rows,calibration_median_iqr,extra_trees,svd_entropy,hjorth_mobility,0.979084709990667,0.9
638,native_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,hjorth_mobility,0.9496069345444949,0.9
638,native_rows,calibration_median_iqr,extra_trees,mean_frequency,hjorth_mobility,0.9868524621545061,0.9
638,native_rows,calibration_median_iqr,extra_trees,permutation_entropy,slope_sign_change_count,0.9956689464525399,0.9
638,native_rows,calibration_median_iqr,random_forest,svd_entropy,hjorth_mobility,0.979084709990667,0.9
638,native_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,hjorth_mobility,0.9496069345444949,0.9
638,native_rows,calibration_median_iqr,random_forest,mean_frequency,hjorth_mobility,0.9868524621545061,0.9
638,native_rows,calibration_median_iqr,random_forest,permutation_entropy,slope_sign_change_count,0.9956689464525399,0.9
