outer_fold_patient_id,evaluation_mode,normalization,classifier,roc_auc,average_precision,accuracy,sensitivity,specificity,balanced_accuracy,evaluated_rows,class_0_rows,class_1_rows
1855,native_rows,jackknife_median,extra_trees,0.9956896551724138,0.9963448660714286,0.9344262295081968,1.0,0.8620689655172413,0.9310344827586207,61,29,32
1855,native_rows,jackknife_median,random_forest,0.9261853448275862,0.9191920422953248,0.8688524590163934,1.0,0.7241379310344828,0.8620689655172413,61,29,32
1855,native_rows,calibration_median,logistic_regression,0.5509868421052632,0.6754711800483009,0.47058823529411764,0.21875,0.8947368421052632,0.5567434210526316,51,19,32
1855,native_rows,calibration_median,extra_trees,0.9342105263157894,0.8963919805212561,0.8823529411764706,1.0,0.6842105263157895,0.8421052631578947,51,19,32
1855,native_rows,calibration_median,random_forest,0.9325657894736843,0.8970384688264611,0.7843137254901961,1.0,0.42105263157894735,0.7105263157894737,51,19,32
1855,native_rows,calibration_median_iqr,logistic_regression,0.5657894736842106,0.8095496324264115,0.6666666666666666,0.53125,0.8947368421052632,0.7129934210526316,51,19,32
1855,native_rows,calibration_median_iqr,extra_trees,0.9967105263157895,0.9981617647058824,0.9803921568627451,0.96875,1.0,0.984375,51,19,32
1855,native_rows,calibration_median_iqr,random_forest,0.8544407894736843,0.8471178676641464,0.8823529411764706,0.96875,0.7368421052631579,0.852796052631579,51,19,32
8452,common_rows,none,logistic_regression,0.5677966101694916,0.864917562830974,0.5443037974683544,0.7288135593220338,0.0,0.3644067796610169,79,20,59
8452,common_rows,none,extra_trees,0.48771186440677966,0.6866905797606441,0.810126582278481,0.9491525423728814,0.4,0.6745762711864407,79,20,59
8452,common_rows,none,random_forest,0.5588983050847458,0.7208880237220047,0.7848101265822784,0.8813559322033898,0.5,0.6906779661016949,79,20,59
8452,common_rows,jackknife_median,logistic_regression,0.5398305084745764,0.8532785832409404,0.5569620253164557,0.4915254237288136,0.75,0.6207627118644068,79,20,59
8452,common_rows,jackknife_median,extra_trees,0.7190677966101695,0.899212836588166,0.6075949367088608,0.6440677966101694,0.5,0.5720338983050848,79,20,59
8452,common_rows,jackknife_median,random_forest,0.6542372881355933,0.8843069222954925,0.6329113924050633,0.6949152542372882,0.45,0.5724576271186441,79,20,59
8452,common_rows,calibration_median,logistic_regression,0.5228813559322034,0.8415376353700967,0.4936708860759494,0.423728813559322,0.7,0.561864406779661,79,20,59
8452,common_rows,calibration_median,extra_trees,0.6296610169491526,0.8587474477480048,0.5569620253164557,0.5932203389830508,0.45,0.5216101694915254,79,20,59
8452,common_rows,calibration_median,random_forest,0.7194915254237289,0.8978968538969201,0.6835443037974683,0.7627118644067796,0.45,0.6063559322033898,79,20,59
8452,common_rows,calibration_median_iqr,logistic_regression,0.4703389830508475,0.7981573397245463,0.34177215189873417,0.11864406779661017,1.0,0.559322033898305,79,20,59
8452,common_rows,calibration_median_iqr,extra_trees,0.7080508474576271,0.9033924368006768,0.5949367088607594,0.6779661016949152,0.35,0.5139830508474577,79,20,59
8452,common_rows,calibration_median_iqr,random_forest,0.6601694915254237,0.8896719072704123,0.5822784810126582,0.6949152542372882,0.25,0.4724576271186441,79,20,59
8452,native_rows,none,logistic_regression,0.5706214689265536,0.8256437597001951,0.4044943820224719,0.5932203389830508,0.03333333333333333,0.3132768361581921,89,30,59
8452,native_rows,none,extra_trees,0.42627118644067796,0.5811507612821899,0.5056179775280899,0.5423728813559322,0.43333333333333335,0.4878531073446328,89,30,59
8452,native_rows,none,random_forest,0.4545197740112995,0.6104778513807816,0.5280898876404494,0.6271186440677966,0.3333333333333333,0.480225988700565,89,30,59
8452,native_rows,jackknife_median,logistic_regression,0.5406779661016949,0.8008719292103433,0.5056179775280899,0.4915254237288136,0.5333333333333333,0.5124293785310734,89,30,59
8452,native_rows,jackknife_median,extra_trees,0.7355932203389831,0.7563095044920606,0.6179775280898876,0.5932203389830508,0.6666666666666666,0.6299435028248588,89,30,59
8452,native_rows,jackknife_median,random_forest,0.8042372881355933,0.887560499171284,0.6292134831460674,0.6101694915254238,0.6666666666666666,0.6384180790960452,89,30,59
8452,native_rows,calibration_median,logistic_regression,0.5228813559322034,0.8415376353700967,0.4936708860759494,0.423728813559322,0.7,0.561864406779661,79,20,59
8452,native_rows,calibration_median,extra_trees,0.6296610169491526,0.8587474477480048,0.5569620253164557,0.5932203389830508,0.45,0.5216101694915254,79,20,59
8452,native_rows,calibration_median,random_forest,0.7194915254237289,0.8978968538969201,0.6835443037974683,0.7627118644067796,0.45,0.6063559322033898,79,20,59
8452,native_rows,calibration_median_iqr,logistic_regression,0.4703389830508475,0.7981573397245463,0.34177215189873417,0.11864406779661017,1.0,0.559322033898305,79,20,59
8452,native_rows,calibration_median_iqr,extra_trees,0.7080508474576271,0.9033924368006768,0.5949367088607594,0.6779661016949152,0.35,0.5139830508474577,79,20,59
8452,native_rows,calibration_median_iqr,random_forest,0.6601694915254237,0.8896719072704123,0.5822784810126582,0.6949152542372882,0.25,0.4724576271186441,79,20,59
10013,common_rows,none,logistic_regression,0.95,0.8990918268187827,0.96,0.9666666666666667,0.95,0.9583333333333333,50,20,30
10013,common_rows,none,extra_trees,1.0,1.0,0.92,1.0,0.8,0.9,50,20,30
10013,common_rows,none,random_forest,1.0,1.0,0.92,1.0,0.8,0.9,50,20,30
10013,common_rows,jackknife_median,logistic_regression,0.9633333333333333,0.9600574352843911,0.98,1.0,0.95,0.975,50,20,30
10013,common_rows,jackknife_median,extra_trees,1.0,1.0,0.98,1.0,0.95,0.975,50,20,30
10013,common_rows,jackknife_median,random_forest,1.0,1.0,0.94,1.0,0.85,0.925,50,20,30
10013,common_rows,calibration_median,logistic_regression,0.98,0.9840164820569053,0.92,1.0,0.8,0.9,50,20,30
10013,common_rows,calibration_median,extra_trees,1.0,1.0,1.0,1.0,1.0,1.0,50,20,30
10013,common_rows,calibration_median,random_forest,1.0,1.0,0.92,1.0,0.8,0.9,50,20,30
10013,common_rows,calibration_median_iqr,logistic_regression,0.89,0.8626176097798098,0.84,1.0,0.6,0.8,50,20,30
10013,common_rows,calibration_median_iqr,extra_trees,1.0,0.9999999999999999,0.7,1.0,0.25,0.625,50,20,30
10013,common_rows,calibration_median_iqr,random_forest,1.0,0.9999999999999999,0.68,1.0,0.2,0.6,50,20,30
10013,native_rows,none,logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,60,30,30
10013,native_rows,none,extra_trees,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,60,30,30
10013,native_rows,none,random_forest,1.0,1.0,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,60,30,30
10013,native_rows,jackknife_median,logistic_regression,0.9466666666666667,0.9208819220130158,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,60,30,30
10013,native_rows,jackknife_median,extra_trees,1.0,0.9999999999999999,0.9833333333333333,1.0,0.9666666666666667,0.9833333333333334,60,30,30
10013,native_rows,jackknife_median,random_forest,1.0,0.9999999999999999,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,60,30,30
10013,native_rows,calibration_median,logistic_regression,0.98,0.9840164820569053,0.92,1.0,0.8,0.9,50,20,30
10013,native_rows,calibration_median,extra_trees,1.0,1.0,1.0,1.0,1.0,1.0,50,20,30
10013,native_rows,calibration_median,random_forest,1.0,1.0,0.92,1.0,0.8,0.9,50,20,30
10013,native_rows,calibration_median_iqr,logistic_regression,0.89,0.8626176097798098,0.84,1.0,0.6,0.8,50,20,30
10013,native_rows,calibration_median_iqr,extra_trees,1.0,0.9999999999999999,0.7,1.0,0.25,0.625,50,20,30
10013,native_rows,calibration_median_iqr,random_forest,1.0,0.9999999999999999,0.68,1.0,0.2,0.6,50,20,30
26398,common_rows,none,logistic_regression,0.7740740740740741,0.8935130603639333,0.375,0.0,1.0,0.5,48,18,30
26398,common_rows,none,extra_trees,0.46388888888888896,0.5982586838974862,0.6041666666666666,0.9666666666666667,0.0,0.48333333333333334,48,18,30
26398,common_rows,none,random_forest,0.46759259259259256,0.6554874304670946,0.625,1.0,0.0,0.5,48,18,30
26398,common_rows,jackknife_median,logistic_regression,0.2314814814814815,0.5326832567472044,0.3541666666666667,0.16666666666666666,0.6666666666666666,0.41666666666666663,48,18,30
26398,common_rows,jackknife_median,extra_trees,0.6231481481481481,0.6480356190776759,0.5833333333333334,0.5666666666666667,0.6111111111111112,0.5888888888888889,48,18,30
26398,common_rows,jackknife_median,random_forest,0.5842592592592593,0.6184305354290938,0.7083333333333334,0.8,0.5555555555555556,0.6777777777777778,48,18,30
26398,common_rows,calibration_median,logistic_regression,0.40740740740740744,0.6123348510045818,0.3125,0.2,0.5,0.35,48,18,30
26398,common_rows,calibration_median,extra_trees,0.3462962962962963,0.52303289216331,0.2708333333333333,0.06666666666666667,0.6111111111111112,0.3388888888888889,48,18,30
26398,common_rows,calibration_median,random_forest,0.55,0.6046755173773235,0.5833333333333334,0.6333333333333333,0.5,0.5666666666666667,48,18,30
26398,common_rows,calibration_median_iqr,logistic_regression,0.40185185185185185,0.6735465187942845,0.375,0.0,1.0,0.5,48,18,30
26398,common_rows,calibration_median_iqr,extra_trees,0.6851851851851852,0.7840138006066598,0.6041666666666666,0.5,0.7777777777777778,0.6388888888888888,48,18,30
26398,common_rows,calibration_median_iqr,random_forest,0.6490740740740741,0.7285952278340354,0.5625,0.5,0.6666666666666666,0.5833333333333333,48,18,30
26398,native_rows,none,logistic_regression,0.4845238095238096,0.4894120659130368,0.4827586206896552,0.0,1.0,0.5,58,28,30
26398,native_rows,none,extra_trees,0.5613095238095238,0.5280137946093046,0.5172413793103449,0.4666666666666667,0.5714285714285714,0.519047619047619,58,28,30
26398,native_rows,none,random_forest,0.4375,0.5420879380880067,0.43103448275862066,0.6,0.25,0.425,58,28,30
26398,native_rows,jackknife_median,logistic_regression,0.5059523809523809,0.509051871061271,0.41379310344827586,0.1,0.75,0.425,58,28,30
26398,native_rows,jackknife_median,extra_trees,0.7886904761904762,0.712415494347075,0.5344827586206896,0.23333333333333334,0.8571428571428571,0.5452380952380952,58,28,30
26398,native_rows,jackknife_median,random_forest,0.7541666666666667,0.6581085250880497,0.6379310344827587,0.5333333333333333,0.75,0.6416666666666666,58,28,30
26398,native_rows,calibration_median,logistic_regression,0.40740740740740744,0.6123348510045818,0.3125,0.2,0.5,0.35,48,18,30
26398,native_rows,calibration_median,extra_trees,0.3462962962962963,0.52303289216331,0.2708333333333333,0.06666666666666667,0.6111111111111112,0.3388888888888889,48,18,30
26398,native_rows,calibration_median,random_forest,0.55,0.6046755173773235,0.5833333333333334,0.6333333333333333,0.5,0.5666666666666667,48,18,30
26398,native_rows,calibration_median_iqr,logistic_regression,0.40185185185185185,0.6735465187942845,0.375,0.0,1.0,0.5,48,18,30
26398,native_rows,calibration_median_iqr,extra_trees,0.6851851851851852,0.7840138006066598,0.6041666666666666,0.5,0.7777777777777778,0.6388888888888888,48,18,30
26398,native_rows,calibration_median_iqr,random_forest,0.6490740740740741,0.7285952278340354,0.5625,0.5,0.6666666666666666,0.5833333333333333,48,18,30
26502,common_rows,none,logistic_regression,0.765880217785844,0.9104559549161284,0.24675324675324675,0.0,1.0,0.5,77,19,58
26502,common_rows,none,extra_trees,0.18602540834845735,0.6054137923823374,0.5064935064935064,0.6724137931034483,0.0,0.33620689655172414,77,19,58
26502,common_rows,none,random_forest,0.5576225045372051,0.7341255570233863,0.2857142857142857,0.15517241379310345,0.6842105263157895,0.41969147005444646,77,19,58
26502,common_rows,jackknife_median,logistic_regression,0.5281306715063521,0.7484220507700621,0.24675324675324675,0.0,1.0,0.5,77,19,58
26502,common_rows,jackknife_median,extra_trees,0.9528130671506352,0.9839523942044304,0.7402597402597403,0.6551724137931034,1.0,0.8275862068965517,77,19,58
