feature_name,dtype,non_missing_count,missing_count,infinite_count,unique_count,most_frequent_value_fraction,minimum,q1,median,q3,maximum,mean,standard_deviation,iqr,iqr_outlier_count,is_constant,is_near_constant,feature_family
median_frequency,float64,1283,0,0,1283,0.000779423226812159,1.235310009221901,3.6133139332919817,6.218339455009447,7.439691303386601,12.309164187059723,5.831890529475314,2.6891399446564743,3.8263773700946193,0,False,False,ABFE
spectral_edge_frequency_95,float64,1283,0,0,1283,0.000779423226812159,5.436745152187426,14.459437076161265,17.629768938291377,21.175209741455326,31.499348493791757,17.06211159688725,5.519393201719352,6.715772665294061,5,False,False,ABFE
spectral_entropy,float64,1283,0,0,1283,0.000779423226812159,0.3799837664195382,0.6018766795712706,0.6801872490207854,0.7345473421612502,0.8038503314972175,0.652015755200588,0.10243745328177513,0.13267066258997962,37,False,False,ABFE
n_r_points,int64,1283,0,0,893,0.005455962587685113,223.0,1000.0,1322.0,1667.0,5542.0,1372.8183943881527,550.215872176763,667.0,12,False,False,SampEn profile
TotalSampEn,float64,1283,0,0,1283,0.000779423226812159,13.956302288327397,42.6759658558909,59.74022130933974,74.72717440061678,168.9337765783962,61.08554396819952,29.331594028393855,32.051208544725874,81,False,False,SampEn profile
AvgSampEn,float64,1283,0,0,1283,0.000779423226812159,0.0137557792468635,0.03538132649225425,0.0431235827621278,0.05835835250981705,0.1067199761397158,0.04633102380825614,0.01636059968644415,0.022977026017562803,11,False,False,SampEn profile
MaxSampEn,float64,1283,0,0,1283,0.000779423226812159,0.8782082761465416,2.347330815423319,2.7960952680380267,3.21517803981882,4.620214100499584,2.770629961273798,0.6952632133784453,0.8678472243955011,19,False,False,SampEn profile
MinSampEn,float64,1283,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,True,SampEn profile
MedianSampEn,float64,1283,0,0,1283,0.000779423226812159,0.0001336450889141,0.0105510839756612,0.0170358244772421,0.023247513217660297,0.0434099351584375,0.01647261992040499,0.009455934954160342,0.012696429241999097,8,False,False,SampEn profile
StdSampEn,float64,1283,0,0,1283,0.000779423226812159,0.0437985249005329,0.10433760183264859,0.1347439137707625,0.1567085175536096,0.2860147849877392,0.13570811152161677,0.043112246084962697,0.052370915720961,42,False,False,SampEn profile
VarSampEn,float64,1283,0,0,1283,0.000779423226812159,0.0019183107834626,0.010886335573198149,0.0181559222982627,0.02455756503865625,0.0818044572315826,0.020273908607987758,0.013153927062358966,0.0136712294654581,71,False,False,SampEn profile
KurtosisSampEn,float64,1283,0,0,1283,0.000779423226812159,40.24948189560168,124.5016823987502,184.34610270680915,249.90219939350402,562.3366913808146,194.48437996103158,84.63666024018028,125.40051699475381,15,False,False,SampEn profile
SkewnessSampEn,float64,1283,0,0,1283,0.000779423226812159,5.558768561628857,9.242008171233516,11.23811217433639,13.312414698320751,20.91323663451308,11.453065968601132,2.685460252618726,4.0704065270872345,13,False,False,SampEn profile
r_at_MaxSampEn,float64,1283,0,0,2,0.9984411535463756,0.0,0.0,0.0,0.0,0.001,1.558846453624318e-06,3.946682790334825e-05,0.0,2,False,True,SampEn profile
r_at_MinSampEn,float64,1283,0,0,903,0.004676539360872954,0.222,1.015,1.338,1.7095,7.511,1.417614185502728,0.6285318765423246,0.6945000000000001,23,False,False,SampEn profile
AUC_SampEn,float64,1283,0,0,1283,0.000779423226812159,0.0132531009136606,0.0414529975563225,0.0580637480807079,0.07312754161676585,0.16764320848698,0.059700322987262404,0.02917870656634093,0.03167454406044335,81,False,False,SampEn profile
ProfileRange,float64,1283,0,0,1283,0.000779423226812159,0.8782082761465416,2.347330815423319,2.7960952680380267,3.21517803981882,4.620214100499584,2.770629961273798,0.6952632133784453,0.8678472243955011,19,False,False,SampEn profile
